Year,quarter,ukos,mode,purpose,package,Age,Sex,duration,Expected spend,country,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,14-27 nights,951.07,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,28-90 nights,200.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,4-13 nights,100.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,14-27 nights,1000.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,4-13 nights,410.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,28-90 nights,0.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Female,4-13 nights,366.79,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Female,14-27 nights,776.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Female,28-90 nights,50.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,65 & over,Male,28-90 nights,1600.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,D/K,Male,4-13 nights,505.27,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,D/K,Male,14-27 nights,2150.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,D/K,Female,4-13 nights,539.23,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Miscellaneous,Independent,25-34,Female,28-90 nights,600.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Miscellaneous,Independent,35-44,Male,1-3 nights,150.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Miscellaneous,Independent,35-44,Female,1-3 nights,33.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Miscellaneous,Independent,D/K,Dont know,4-13 nights,515.00,Bulgaria,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,4-13 nights,150.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,300.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,16-24,Male,14-27 nights,100.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Male,4-13 nights,700.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,35-44,Female,4-13 nights,300.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,4-13 nights,300.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,VFR,Independent,45-54,Male,14-27 nights,170.00,Croatia,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,1-3 nights,479.57,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Male,4-13 nights,796.66,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,1-3 nights,124.99,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,16-24,Female,4-13 nights,579.35,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,1-3 nights,192.26,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Male,4-13 nights,799.90,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,25-34,Female,4-13 nights,405.71,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Male,1-3 nights,1012.60,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,35-44,Female,1-3 nights,340.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Male,4-13 nights,325.00,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,45-54,Female,4-13 nights,296.83,Czech Republic,,,,
2018,Jan-Mar,UK residents,Air,Holiday,Independent,55-64,Male,1-3 nights,450.00,Czech Republic,,,,
